2025-04-23 14:31:26,237 - root - INFO - USER: test_user | ROLE: admin | ACTION: SELECT | TABLE: customers  | QUERY: SELECT * FROM customers LIMIT 5
2025-04-24 19:27:03,817 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email, street FROM customers WHERE (customer_id < 5)
2025-04-24 19:27:03,917 - root - INFO - USER: admin | ROLE: admin | ACTION: INSERT | TABLE: categories  | QUERY: INSERT INTO categories (category_name) VALUES (%s) - ['Test Category']
2025-04-24 19:27:03,921 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email FROM customers WHERE (customer_id < 5)
2025-04-24 19:27:03,926 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: staffs  | QUERY: SELECT * FROM staffs WHERE (store_id = 1)
2025-04-24 19:27:03,928 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 1) AND store_id = 1 - [50]
2025-04-24 19:27:03,935 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 2) AND store_id = 1 - [50]
2025-04-24 19:27:03,937 - root - INFO - USER: sales1 | ROLE: staff | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1 LIMIT 3)
2025-04-24 19:27:03,943 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: orders  | QUERY: SELECT * FROM orders WHERE (customer_id = 1)
2025-04-24 19:27:03,949 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1 LIMIT 3)
2025-04-25 09:04:13,407 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email, street FROM customers WHERE (customer_id < 5)
2025-04-25 09:04:13,521 - root - INFO - USER: admin | ROLE: admin | ACTION: INSERT | TABLE: categories  | QUERY: INSERT INTO categories (category_name) VALUES (%s) - ['Test Category']
2025-04-25 09:04:13,523 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email FROM customers WHERE (customer_id < 5)
2025-04-25 09:04:13,528 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: staffs  | QUERY: SELECT * FROM staffs WHERE (store_id = 1)
2025-04-25 09:04:13,529 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 2) AND store_id = 1 - [50]
2025-04-25 09:04:13,530 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 2) AND store_id = 1 - [50]
2025-04-25 09:04:13,532 - root - INFO - USER: sales1 | ROLE: staff | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1) LIMIT 3
2025-04-25 09:04:13,540 - root - INFO - USER: sales1 | ROLE: staff | ACTION: INSERT | TABLE: orders  | QUERY: INSERT INTO orders (customer_id, order_status, order_date, required_date, store_id, staff_id) VALUES (%s, %s, %s, %s, %s, %s) - [1, 1, '2025-04-25', '2025-05-02', 1, 4]
2025-04-25 09:04:13,542 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: orders  | QUERY: SELECT * FROM orders WHERE (customer_id = 1)
2025-04-25 09:04:13,547 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1) LIMIT 3
2025-04-25 09:18:48,083 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email, street FROM customers WHERE (customer_id < 5)
2025-04-25 09:18:48,160 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: categories  | QUERY: SELECT MAX(category_id) as max_id FROM categories
2025-04-25 09:18:48,161 - root - INFO - USER: admin | ROLE: admin | ACTION: INSERT | TABLE: categories  | QUERY: INSERT INTO categories (category_id, category_name) VALUES (%s, %s) - [8, 'Test Category']
2025-04-25 09:18:48,164 - root - INFO - USER: admin | ROLE: admin | ACTION: UPDATE | TABLE: categories  | QUERY: UPDATE categories SET category_name = %s WHERE (category_id = 8) - ['Updated Test Category']
2025-04-25 09:18:48,165 - root - INFO - USER: admin | ROLE: admin | ACTION: DELETE | TABLE: categories  | QUERY: DELETE FROM categories WHERE (category_id = 8)
2025-04-25 09:18:48,169 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email FROM customers WHERE (customer_id < 5)
2025-04-25 09:18:48,176 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: SELECT | TABLE: staffs  | QUERY: SELECT * FROM staffs WHERE (store_id = 1)
2025-04-25 09:18:48,177 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 1) AND store_id = 1 - [50]
2025-04-25 09:18:48,178 - root - INFO - USER: store1_manager | ROLE: store_manager | ACTION: UPDATE | TABLE: stocks  | QUERY: UPDATE stocks SET quantity = %s WHERE (product_id = 1 AND store_id = 2) AND store_id = 1 - [50]
2025-04-25 09:18:48,180 - root - INFO - USER: sales1 | ROLE: staff | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1) LIMIT 3
2025-04-25 09:18:48,188 - root - INFO - USER: sales1 | ROLE: staff | ACTION: SELECT | TABLE: orders  | QUERY: SELECT MAX(order_id) as max_id FROM orders WHERE (store_id = 1)
2025-04-25 09:18:48,189 - root - INFO - USER: sales1 | ROLE: staff | ACTION: INSERT | TABLE: orders  | QUERY: INSERT INTO orders (order_id, customer_id, order_status, order_date, required_date, store_id, staff_id) VALUES (%s, %s, %s, %s, %s, %s, %s) - [1613, 1, 1, '2025-04-25', '2025-05-02', 1, 4]
2025-04-25 09:18:48,192 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: orders  | QUERY: SELECT * FROM orders WHERE (customer_id = 1)
2025-04-25 09:18:48,198 - root - INFO - USER: customer1 | ROLE: customer | ACTION: SELECT | TABLE: products  | QUERY: SELECT product_id, product_name, list_price FROM products WHERE (category_id = 1) LIMIT 3
2025-04-25 09:29:14,314 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: customers  | QUERY: SELECT customer_id, first_name, last_name, email, street FROM customers WHERE (customer_id < 5)
2025-04-25 09:29:14,359 - root - INFO - USER: admin | ROLE: admin | ACTION: SELECT | TABLE: categories  | QUERY: SELECT MAX(category_id) as max_id FROM categories
